"doc_id","sentence_id","word","brand"
15,5,"bit","bj"
15,5,"chewy","bj"
15,6,"crumbly","bj"
15,6,"bite","bj"
15,7,"fluke","bj"
15,8,"suppose","bj"
15,8,"chewy","bj"
15,8,"crumbly","bj"
15,9,"disappointing","bj"
15,9,"make","bj"
15,9,"question","bj"
15,9,"buy","bj"
15,9,"kind","bj"
19,1,"pint","bj"
19,1,"pint","bj"
19,2,"impression","bj"
19,3,"literally","bj"
19,3,"overflow","bj"
19,3,"open","bj"
19,3,"pint","bj"
19,4,"wow","bj"
19,5,"delicious","bj"
19,6,"salty","bj"
19,6,"sweet","bj"
19,6,"gooey","bj"
19,7,"sweet","bj"
19,7,"rich","bj"
19,7,"cut","bj"
19,7,"sweet","bj"
19,7,"nicely","bj"
19,8,"issue","bj"
19,8,"blonde","bj"
19,8,"bit","bj"
19,9,"plentiful","bj"
19,10,"like","bj"
19,10,"taste","bj"
19,10,"sad","bj"
19,10,"rest","bj"
19,10,"pint","bj"
19,10,"killer","bj"
19,11,"flavor","bj"
19,11,"amazingly","bj"
19,12,"disappointed","bj"
19,12,"blonde","bj"
19,12,"eat","bj"
19,13,"pint","bj"
19,13,"amazing","bj"
19,13,"funky","bj"
21,1,"love","bj"
21,1,"carmel","bj"
21,1,"carmel","bj"
21,2,"grab","bj"
21,2,"shelf","bj"
21,3,"carmel","bj"
21,3,"taste","bj"
21,3,"great","bj"
21,3,"love","bj"
21,3,"blonde","bj"
21,3,"piece","bj"
21,4,"thing","bj"
21,4,"wrong","bj"
21,4,"carmel","bj"
21,5,"carmel","bj"
21,6,"balance","bj"
23,1,"excited","bj"
23,1,"pint","bj"
23,2,"picture","bj"
23,2,"show","bj"
23,2,"online","bj"
23,2,"make","bj"
23,2,"like","bj"
23,2,"decent","bj"
23,2,"size","bj"
23,2,"width","bj"
23,3,"reality","bj"
23,3,"pint","bj"
23,3,"width","bj"
23,3,"pencil","bj"
23,3,"eraser","bj"
23,3,"tip","bj"
23,4,"disappointing","bj"
23,4,"advertised","bj"
23,5,"feel","bj"
23,5,"dupe","bj"
24,1,"buy","bj"
24,1,"sale","bj"
24,1,"excited","bj"
24,2,"light","bj"
24,2,"blondie","bj"
24,2,"nice","bj"
24,2,"treat","bj"
24,3,"down","bj"
24,3,"halfway","bj"
24,3,"pity","bj"
24,3,"love","bj"
25,1,"buy","bj"
25,1,"store","bj"
25,2,"lot","bj"
25,2,"carmel","bj"
25,3,"blondie","bj"
25,4,"tiny","bj"
25,4,"disappointed","bj"
25,4,"rock","bj"
26,1,"love","bj"
27,1,"sweet","bj"
27,1,"big","bj"
27,1,"seller","bj"
27,2,"make","bj"
27,2,"flavor","bj"
27,2,"sweet","bj"
27,2,"base","bj"
27,2,"plain","bj"
27,2,"sweet","bj"
27,3,"flavor","bj"
27,3,"introduce","bj"
27,4,"regularly","bj"
27,5,"point","bj"
27,5,"throw","bj"
27,5,"salty","bj"
27,6,"occasionally","bj"
27,6,"purchase","bj"
27,6,"flavor","bj"
27,6,"sweet","bj"
28,1,"buy","bj"
28,1,"recently","bj"
28,1,"local","bj"
28,1,"target","bj"
28,1,"stop","bj"
28,1,"carry","bj"
28,1,"blondie","bj"
28,1,"ambition","bj"
28,1,"favorite","bj"
28,2,"love","bj"
