"doc_id","word","brand"
21,"grab","bj"
21,"shelf","bj"
21,"carmel","bj"
21,"taste","bj"
21,"great","bj"
21,"love","bj"
21,"blonde","bj"
21,"piece","bj"
21,"thing","bj"
21,"wrong","bj"
21,"carmel","bj"
21,"carmel","bj"
21,"balance","bj"
23,"excited","bj"
23,"pint","bj"
23,"picture","bj"
23,"show","bj"
23,"online","bj"
23,"make","bj"
23,"like","bj"
23,"decent","bj"
23,"size","bj"
23,"width","bj"
23,"reality","bj"
23,"pint","bj"
23,"width","bj"
23,"pencil","bj"
23,"eraser","bj"
23,"tip","bj"
23,"disappointing","bj"
23,"advertised","bj"
23,"feel","bj"
23,"dupe","bj"
24,"buy","bj"
24,"sale","bj"
24,"excited","bj"
24,"light","bj"
24,"blondie","bj"
24,"nice","bj"
24,"treat","bj"
24,"down","bj"
24,"halfway","bj"
24,"pity","bj"
24,"love","bj"
25,"buy","bj"
25,"store","bj"
25,"lot","bj"
25,"carmel","bj"
25,"blondie","bj"
25,"tiny","bj"
25,"disappointed","bj"
25,"rock","bj"
26,"love","bj"
27,"sweet","bj"
27,"big","bj"
27,"seller","bj"
27,"make","bj"
27,"flavor","bj"
27,"sweet","bj"
27,"base","bj"
27,"plain","bj"
27,"sweet","bj"
27,"flavor","bj"
27,"introduce","bj"
27,"regularly","bj"
27,"point","bj"
27,"throw","bj"
27,"salty","bj"
27,"occasionally","bj"
27,"purchase","bj"
27,"flavor","bj"
27,"sweet","bj"
28,"buy","bj"
28,"recently","bj"
28,"local","bj"
28,"target","bj"
28,"stop","bj"
28,"carry","bj"
28,"blondie","bj"
28,"ambition","bj"
28,"favorite","bj"
28,"love","bj"
28,"sweet","bj"
28,"container","bj"
28,"blondie","bj"
28,"disappointing","bj"
28,"previous","bj"
28,"overly","bj"
28,"salty","bj"
28,"buy","bj"
28,"blondie","bj"
28,"ambition","bj"
29,"like","bj"
29,"flavor","bj"
29,"disappointing","bj"
29,"halfway","bj"
29,"pint","bj"
29,"pretty","bj"
29,"disappear","bj"
29,"top","bj"
29,"disperse","bj"
29,"evenly","bj"
29,"salty","bj"
29,"taste","bj"
29,"piece","bj"
29,"find","bj"
29,"entire","bj"
29,"pint","bj"
30,"find","bj"
30,"pint","bj"
30,"rest","bj"
30,"fabulous","bj"
30,"thing","bj"
31,"major","bj"
31,"craving","bj"
31,"store","bj"
31,"excited","bj"
31,"flavor","bj"
31,"bite","bj"
31,"gag","bj"
31,"salty","bj"
31,"sad","bj"
31,"waste","bj"
31,"happy","bj"
31,"purchase","bj"
32,"buy","bj"
32,"night","bj"
32,"like","bj"
32,"fleck","bj"
32,"blondie","bj"
32,"like","bj"
32,"photo","bj"
32,"combination","bj"
32,"salty","bj"
32,"disappointing","bj"
32,"extend","bj"
32,"bottom","bj"
32,"eat","bj"
32,"find","bj"
33,"like","bj"
33,"flavor","bj"
33,"store","bj"
33,"favorite","bj"
33,"flavor","bj"
33,"description","bj"
33,"sound","bj"
33,"great","bj"
33,"salty","bj"
33,"end","bj"
33,"scoop","bj"
33,"piece","bj"
33,"flavor","bj"
33,"disappoint","bj"
33,"guess","bj"
33,"everything","bj"
34,"taste","bj"
34,"like","bj"
34,"happy","bj"
34,"ratio","bj"
34,"addition","bj"
34,"bad","bj"
34,"ratio","bj"
34,"salty","bj"
34,"handle","bj"
34,"fix","bj"
34,"blonde","bj"
34,"bit","bj"
34,"delicious","bj"
35,"excite","bj"
35,"love","bj"
35,"blondie","bj"
35,"flavor","bj"
35,"strongly","bj"
35,"dislike","bj"
35,"salty","bj"
35,"make","bj"
35,"feel","bj"
35,"kind","bj"
35,"sick","bj"
35,"taste","bj"
35,"base","bj"
35,"alright","bj"
35,"guess","bj"
35,"dissapointe","bj"
35,"flavor","bj"
35,"fix","bj"
35,"stop","bj"
35,"make","bj"
38,"blondie","bj"
38,"sweet","bj"
