doc_id,brand,X1,X2,y_dmm_5,y_kmeans_5,y_manual_5,y_dmm_10,y_kmeans_10
18609,breyers,27.254974,-28.070276,3,1,2,1,5
18611,breyers,36.289913,-18.473299,3,1,4,0,4
18614,breyers,14.207034,-38.270073,4,1,4,0,4
18624,breyers,11.034,-37.4447,3,3,4,0,7
18625,breyers,0.44260684,-18.823427,3,1,0,5,4
18631,breyers,37.141033,2.5336497,3,1,1,0,4
18634,breyers,12.013068,-42.620796,3,3,4,0,7
18635,breyers,6.580538,-13.827495,0,1,1,7,4
18636,breyers,-6.2540584,-29.821325,0,1,0,5,3
18646,breyers,12.745232,26.7878,0,1,0,5,4
18650,breyers,17.35295,-12.511025,0,1,0,6,4
18654,breyers,11.035142,-39.37067,3,3,0,0,1
18660,breyers,17.488335,-16.875586,4,1,0,0,4
18671,breyers,9.836087,1.3680148,3,0,3,1,1
18676,breyers,29.817318,-17.859571,1,0,0,7,1
18677,breyers,32.99995,10.694796,3,1,3,3,4
18679,breyers,31.72562,-3.2304242,3,1,2,5,4
18680,breyers,23.371183,-17.295467,0,1,0,5,4
18681,breyers,34.34243,8.522327,3,1,0,7,4
18682,breyers,25.501041,16.787037,4,1,4,2,4
18687,breyers,-7.097553,-24.336985,0,1,1,6,3
18689,breyers,-13.4979315,31.65195,1,4,0,4,8
18691,breyers,-7.437627,-3.5733683,3,0,0,8,2
18693,breyers,35.520638,-19.915064,3,0,1,1,1
18697,breyers,15.278083,31.728611,0,0,3,5,1
18699,breyers,8.61527,29.552622,1,4,0,2,8
18703,breyers,13.683737,3.9452689,4,0,2,4,1
18714,breyers,-2.5663674,2.9043992,4,1,0,5,4
18716,breyers,31.326551,-6.627773,3,1,0,7,4
18717,breyers,19.152721,-18.978804,0,1,0,7,4
18718,breyers,33.968903,6.4443817,3,1,0,6,4
18719,breyers,-28.227524,-27.74857,0,1,0,6,2
18723,breyers,33.79784,6.9452314,0,1,4,6,4
18726,breyers,-5.4235353,-12.63551,1,1,0,7,4
18730,breyers,21.109102,-11.887091,2,1,3,8,4
18734,breyers,19.475302,-19.680017,3,1,0,5,4
18742,breyers,-1.952789,-4.3408127,4,1,0,5,4
18746,breyers,17.326841,1.1236788,0,0,3,0,1
18747,breyers,9.891114,-13.475452,0,1,0,6,4
18748,breyers,7.8145943,25.83564,0,4,0,5,8
18749,breyers,6.2883415,29.42469,2,4,0,4,8
18751,breyers,18.268154,-16.24481,0,1,0,6,4
18752,breyers,23.880356,-3.056986,3,1,0,7,4
18754,breyers,38.290855,-5.9727015,2,1,3,8,4
